model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
microsoft/Phi-3-mini-4k-instruct,banking77,shadow_kv,0.9974632884486826,1.0007550147079174,-3.1294364128745,-5.405745033240112,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,banking77,shadow_kv_plus,0.9200876709107396,0.924724030310523,1.2489141665249854,4.579942613916191,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,cnn_dailymail,shadow_kv,1.042693510457525,1.0387363181020128,1.406738038860795,-0.2168434774635722,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,cnn_dailymail,shadow_kv_plus,0.8683664878644256,0.9085954800633,-5.468158541746292,-9.434778999194611,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,daily_dialog,shadow_kv,1.0008823241783595,1.0059388078058682,-1.212380008094826,-1.3575143108486605,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,daily_dialog,shadow_kv_plus,0.9497978262945448,0.9918506444042352,5.456938851840966,7.678938275950904,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,dolly,shadow_kv,1.0018480401062173,0.9933352711509372,-0.6057836378774238,-3.1118398074861493,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,dolly,shadow_kv_plus,0.9359812020188604,0.9205236153564054,0.1203749152700871,1.2685702266931382,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,oasst1,shadow_kv,0.9976608028587935,1.0024628507333335,0.3738262816710267,1.5943230511772042,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,oasst1,shadow_kv_plus,0.9368673879841376,0.9157792022441146,4.0446759243354045,6.468990462291108,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,samsum,shadow_kv,0.99653266575251,1.0069318315773863,0.0466317840488572,2.115535857230135,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,samsum,shadow_kv_plus,0.9344353602192416,0.8651484606184959,-0.845575088848508,0.0027022913682531,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,ultrachat,shadow_kv,1.0052057614797807,0.9936413153307296,-1.5158450574699447,-1.402730030244944,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,ultrachat,shadow_kv_plus,0.8635573034859468,0.846292379315174,-7.393411196762376,-7.220271787990362,0.9921875,127,16256,0.0
microsoft/Phi-3-mini-4k-instruct,xsum,shadow_kv,0.9997501623883004,0.996146835722072,-0.8407238330300767,-0.164008379406675,0.0,0,0,0.0
microsoft/Phi-3-mini-4k-instruct,xsum,shadow_kv_plus,0.8632814896041112,0.8358439308628294,-3.5034466588806703,-1.8102552479147755,0.9921875,127,16256,0.0
